participants,date_announced,business_description,type,SIC_primary,participant_nation,deal_number
Countrywide Home Loans Inc,2004-07-07,Mortgage bank,Joint Venture,6162,United States,1586075045
InteliData Technologies Corp,2004-07-29,Pvd online banking svcs,Strategic Alliance,6029,United States,1590610045
New York Bankers Service Corp,2004-08-09,Dvlp bank software,Strategic Alliance,7372,United States,1593234045
Countrywide Home Loans Inc,2004-08-09,Mortgage bank,Joint Venture,6162,United States,1593190045
Cardinal Capital.Net Inc,2004-08-11,Investment bank,Joint Venture,6211,United States,1593586045
Secured Funding Corp,2004-08-11,Mortgage bank,Strategic Alliance,6162,United States,1593447045
Somerset Hills Bancorp,2004-08-25,Bank holding company,Joint Venture,6022,United States,1596509045
Advanta Bank Corp,2004-09-21,Commercial bank,Strategic Alliance,6021,United States,1605103045
Jefferies Group Inc,2004-10-07,Pvd investment banking svcs,Joint Venture,6211,United States,1608854045
"Citizens South Banking Corp,NC",2004-10-18,Bank holding company,Strategic Alliance,6035,United States,1611025045
Bank of America Corp,2004-11-01,"Provide banking,financial svcs",Strategic Alliance,6021,United States,1614840045
MBNA Corp,2004-11-06,Commercial bank holding co,Strategic Alliance,6021,United States,2072629045
Bansec-Lepta Group,2004-11-23,Pvd banking advisory svcs,Joint Venture,6282,United States,1619623045
Center Bank,2005-01-10,Commercial bank,Strategic Alliance,6021,United States,1638729045
Giuliani Capital Advisors LLC,2005-02-16,"Pvd invest bank,mgmt advisory",Joint Venture,6211,United States,1639758045
Credit Suisse First Boston,2005-03-15,Investment bank,Joint Venture,6211,United States,1650711045
Allied Investment House Inc,2005-03-17,Investment bank,Joint Venture,6211,United States,1651302045
CIT Group Inc,2005-03-30,Bank and financial holding company,Strategic Alliance,6021,United States,1655323045
Bancorp Bank Inc,2005-04-11,Commercial bank,Strategic Alliance,6021,United States,1659685045
Baker Hill Corp,2005-04-19,Dvlp bank software,Strategic Alliance,7372,United States,1659686045
Wells Fargo & Co,2005-04-22,Bank holding company,Strategic Alliance,6021,United States,1659544045
Bank of America Corp,2005-04-25,"Provide banking,financial svcs",Strategic Alliance,6021,United States,1660156045
MBNA Corp,2005-04-29,Commercial bank holding co,Joint Venture,6021,United States,1661634045
Webster Financial Corp,2005-05-01,Bank holding company,Joint Venture,6021,United States,1720436045
Morgan Stanley,2005-05-07,Pvd invest banking svcs,Joint Venture,6211,United States,1899278045
Deluxe Financial Services,2005-05-09,Publish bank checks,Strategic Alliance,2782,United States,1663986045
Integrated Data Systems Inc,2005-05-09,Dvlp banking software,Strategic Alliance,7372,United States,1663986045
Credit Suisse First Boston,2005-05-12,Investment bank,Joint Venture,6211,United States,1669695045
Credit Suisse First Boston,2005-05-22,Investment bank,Joint Venture,6211,United States,1667813045
Community Commerce Bank,2005-05-26,Commercial bank,Joint Venture,6021,United States,1667559045
Cantor Fitzgerald LP,2005-06-02,Investment Banking and Securities Dealing,Strategic Alliance,6211,United States,1669052045
HankPacific Group LLC,2005-06-02,Investment bank,Strategic Alliance,6211,United States,1669052045
Sterling Group of Houston,2005-06-24,Investment bank,Joint Venture,6211,United States,1674746045
Nolte National Bank,2005-06-27,Bank,Strategic Alliance,6021,United States,1675299045
FirstMerit Corp,2005-06-28,Bank holding compnay,Strategic Alliance,6021,United States,1675539045
Samuel A Ramirez & Co Inc,2005-08-09,Investment bank,Strategic Alliance,6211,United States,1685421045
ThinkEquity Partners LLC,2005-08-22,Investment bank,Strategic Alliance,6211,United States,1687970045
SVB Securities Inc,2005-08-22,Investment bank,Strategic Alliance,6211,United States,1687970045
Credit Suisse First Boston,2005-08-24,Investment bank,Joint Venture,6211,United States,1688603045
Credit Suisse First Boston,2005-09-12,Investment bank,Strategic Alliance,6211,United States,1692999045
PNC Finl Services Group Inc,2005-09-14,Bank holding company,Joint Venture,6021,United States,1694278045
"Mellon Financial,Pittsburgh,PA",2005-09-21,Bank hldg co,Joint Venture,6021,United States,1695248045
Crescent Bank & Trust,2005-09-21,Commercial bank,Strategic Alliance,6021,United States,1695391045
Anchor BanCorp Wisconsin Inc,2005-09-22,Bank holding company,Strategic Alliance,6021,United States,1695841045
Harris Nesbitt Corp,2005-10-18,Investment bank,Strategic Alliance,6211,United States,1703064045
Stewart Mortgage Infor Co,2005-10-24,Mortgage bank,Strategic Alliance,6162,United States,1704458045
Houlihan Lokey Howard & Zukin,2005-10-30,Invest bank,Joint Venture,6211,United States,1708656045
"State Bank of Oxford,IN",2005-11-01,Commercial bank,Joint Venture,6021,United States,1709757045
"Peoples State Bank,IN",2005-11-01,Commercial bank,Joint Venture,6021,United States,1709757045
Webster Financial Corp,2005-11-01,Bank holding company,Strategic Alliance,6021,United States,1709322045
Vietnam Partners LLC,2006-01-10,Investment bank,Joint Venture,6211,United States,1727167045
Stifel Nicolaus & Co Inc,2006-02-13,Investment Banking and Securities Dealing,Strategic Alliance,6211,United States,1735347045
"Mellon Financial,Pittsburgh,PA",2006-02-13,Bank hldg co,Joint Venture,6021,United States,2624576045
"Citizen Finl Svcs FSB,IN",2006-03-01,Bank,Strategic Alliance,6029,United States,1739261045
Deluxe Financial Services,2006-03-22,Publish bank checks,Strategic Alliance,2782,United States,1745256045
Independent Bankers Svcs Corp,2006-03-22,Commercial bank,Strategic Alliance,6021,United States,1745256045
Deluxe Financial Services,2006-04-10,Publish bank checks,Strategic Alliance,2782,United States,1751480045
Citibank NA,2006-04-25,Commercial bank (for US),Strategic Alliance,6021,United States,1755041045
Bank of America Corp,2006-05-22,"Provide banking,financial svcs",Joint Venture,6021,United States,1819081045
BB&T Corp,2006-05-22,Bank holding company,Joint Venture,6021,United States,1819081045
Wells Fargo & Co,2006-05-22,Bank holding company,Joint Venture,6021,United States,1819081045
Deutsche Bank Securities Inc,2006-06-05,Investment bank,Joint Venture,6211,United States,1767785045
New York Global Group Inc,2006-06-15,Investment bank,Strategic Alliance,6211,United States,1768840045
Giuliani Capital Advisors LLC,2006-07-12,"Pvd invest bank,mgmt advisory",Strategic Alliance,6211,United States,1776160045
City National Corp,2006-07-17,Bank holding company,Strategic Alliance,6021,United States,1778367045
Piper Jaffray Cos,2006-07-19,Pvd investment banking svcs,Strategic Alliance,6211,United States,1777956045
CIT Group Inc,2006-07-19,Bank and financial holding company,Strategic Alliance,6021,United States,1777956045
Banco Popular New York,2006-07-25,Commercial bank,Strategic Alliance,6021,United States,1779514045
Southern Pacific Secured,2006-08-07,Mortgage banking services,Strategic Alliance,6162,United States,1783967045
Virginia Commonwealth Finl,2006-08-23,Commercial bank,Strategic Alliance,6021,United States,1786883045
"KeyBank NA,Cleveland,Ohio",2006-08-30,Provides commercial banking services,Strategic Alliance,6021,United States,1788464045
Takenaka Partners LLC,2006-09-12,Investment bank,Strategic Alliance,6211,United States,1792388045
Morgan Stanley,2006-09-13,Pvd invest banking svcs,Strategic Alliance,6211,United States,1899271045
CIT Group Inc,2006-11-06,Bank and financial holding company,Joint Venture,6021,United States,1809402045
Citibank NA,2006-12-05,Commercial bank (for US),Strategic Alliance,6021,United States,1819084045
"Amer Home Bk,Mountville,PA",2006-12-12,Commercial bank,Joint Venture,6021,United States,1820784045
Healthcare Bank,2006-12-19,Commercial Banking,Strategic Alliance,6021,United States,1824270045
Morgan Stanley,2006-12-20,Pvd invest banking svcs,Strategic Alliance,6211,United States,1824221045
